推,噓,分數,作者,標題,時間
242,10,232,taipei5566 (臺北56),[問卦] 翁立友和雞排妹閃婚的可能性,Sat Feb  6 02:50:57 2021
3,1,2,Ayanami5566 (綾波五六),[問卦] 處男哥哥要教我談戀愛該怎辦?,Fri Feb  5 23:59:46 2021
2,0,2,iphone15 (哀鳳15),Re,Sat Feb  6 01:00:48 2021
4,3,1,ilovettb (笑著笑著就哭了),[問卦] 為什麼羅時豐沒被千千告?,Fri Feb  5 23:27:57 2021
5,2,3,intrepid123 (勇氣),[問卦] 金城武不結婚不會很無聊嗎,Fri Feb  5 22:59:25 2021
1,1,0,oxygen718 (我的保溫杯),[問卦] G排484臭掉了？,Sat Feb  6 01:25:53 2021
11,13,-2,laiyuhao (0.0\),[新聞] 爛事變好事初衷變調 誰敢再學雞排妹指證,Sat Feb  6 09:09:10 2021
5,1,4,kuzu (酷蘇打☆クズだ),[問卦] 各位邊緣人怎麼加入clubhouse 的？,Sat Feb  6 08:54:58 2021
3,2,1,masi (專業酸民),[問卦] 三個妹仔要報隊該怎麼辦,Fri Feb  5 23:02:25 2021
4,1,3,k99t (聖誕小雞),[問卦] 有沒有當兵再健康的人都會生病的八卦？,Fri Feb  5 22:53:53 2021
4,1,3,lpbrother (LP哥(LP = Love & Peace)),[新聞] 屏東阿北車流路口徬徨險象環生　警緊急下,Sat Feb  6 07:18:42 2021
8,0,8,yorkyoung (約克羊),[問卦] 如果只能推薦一篇文，推哪篇？,Sat Feb  6 00:19:26 2021
1,0,1,Reichenau (RRR),Re,Sat Feb  6 01:45:24 2021
7,2,5,NSYSUEE (Monkey),[問卦] Only you 可以全身而退的方法,Fri Feb  5 22:20:56 2021
10,0,10,brownbear (熊國勞工),[協尋] 是不是有人的黑狗狗走丟了？,Fri Feb  5 22:33:16 2021
1,2,-1,ruby00514 (鬼滅秀柱-洪秀柱),[問卦] 如果今天是企鵝妹有騷擾風波會怎樣？,Fri Feb  5 23:14:49 2021
5,0,5,Aziz (Aziz),Re,Fri Feb  5 23:23:27 2021
1,0,1,ReiKuromiya (ReiKuromiya),Re,Fri Feb  5 22:55:10 2021
3,1,2,a78914124 (U文製造機),[問卦] 路西亞·烈惡古洛親艾麗算性騷擾嗎,Sat Feb  6 01:47:41 2021
8,8,0,masi (專業酸民),[問卦] 來這篇推我的都性騷擾,Fri Feb  5 22:14:02 2021
7,1,6,y303y191 (),[問卦] 私立醫院狂推自費開刀住院的八卦,Fri Feb  5 23:25:47 2021
27,4,23,hugh509 ((0_ 0)),[問卦] 一群iPhone在Clubhouse，安卓仔在想啥？,Fri Feb  5 23:30:25 2021
55,5,50,xo7796 (汐華 初流乃),[問卦] 說性騷就直接信的腦在哪？,Sat Feb  6 06:38:57 2021
8,0,8,lucien0410 (lucein),[問卦] 有沒有佑來了秀神奇蛋蛋的八卦？,Fri Feb  5 22:52:28 2021
1,0,1,abc60575986 (TAKA),[問卦] 害我想吃雞排,Sat Feb  6 01:28:03 2021
11,8,3,kuku951 (猴子),[爆卦]  黃威愷在clubhouse開麥拉,Fri Feb  5 23:24:41 2021
4,2,2,farmer (^_^),[問卦] 用純愛杯時要聽翁立友的哪首歌？,Sat Feb  6 05:19:48 2021
13,1,12,kaki1231 (亞亞),[問卦] 被抽電子煙的人嗆只是水蒸氣怎麼反駁,Fri Feb  5 22:56:36 2021
18,0,18,powerdavid (hatano yee),[爆卦] 俄羅斯驅逐波蘭 德國 瑞典外交官,Sat Feb  6 00:04:08 2021
3,1,2,sirius65482 (絕影),[問卦] 雞姐被性騷擾會怎樣?,Sat Feb  6 00:22:11 2021
5,1,4,z5419 (邱哥),[問卦] 各位覺得最好用的手機,Sat Feb  6 09:25:32 2021
11,2,9,Beanoodle (津崎似超人平匡先生),[問卦] 認真問，華山基金會如何？,Sat Feb  6 00:27:20 2021
2,0,2,ReiKuromiya (ReiKuromiya),Re,Sat Feb  6 01:31:03 2021
1,1,0,postit (擁有秘密是快樂的事),[問卦] 有沒有洗門風的八卦？,Fri Feb  5 23:46:18 2021
5,4,1,newwu (說不定我一生涓滴廢文),Re,Sat Feb  6 01:48:57 2021
0,0,0,peterpan0228 (haveapen),[問卦] 有沒有牙套專家,Fri Feb  5 23:06:13 2021
35,52,-17,norvasc (Norton),[問卦] 只有我覺得翁立友真的有摸雞排妹嗎,Sat Feb  6 07:12:36 2021
1,0,1,s523698 (523698),Re,Fri Feb  5 22:47:54 2021
3,0,3,toofat (南勢角野郎哥),[問卦] 花采列島的台灣最強的花見是？,Sat Feb  6 01:26:11 2021
5,1,4,Superxixai (洪粉吱已),[問卦] 菲律賓人，結婚之後都各玩各的喔？,Sat Feb  6 00:21:13 2021
